row_index,label,seed
4,10,7
6,7,7
7,70,7
8,70,7
12,47,7
21,70,7
23,91,7
24,80,7
27,82,7
32,59,7
33,79,7
34,58,7
35,41,7
39,11,7
40,11,7
41,59,7
49,4,7
52,31,7
53,37,7
54,46,7
62,44,7
69,67,7
70,72,7
72,26,7
73,12,7
75,94,7
80,49,7
83,8,7
85,63,7
86,20,7
87,20,7
88,70,7
95,13,7
97,44,7
98,70,7
101,29,7
102,70,7
103,37,7
104,50,7
106,85,7
107,68,7
108,76,7
109,70,7
110,56,7
114,58,7
115,70,7
119,0,7
120,59,7
122,58,7
124,7,7
127,83,7
128,55,7
130,51,7
131,4,7
134,50,7
135,70,7
137,70,7
140,72,7
142,16,7
144,91,7
147,21,7
149,11,7
150,12,7
151,5,7
152,22,7
156,63,7
158,46,7
160,29,7
161,68,7
167,83,7
170,59,7
172,83,7
173,68,7
175,49,7
176,7,7
179,32,7
180,14,7
182,86,7
186,18,7
187,16,7
190,26,7
191,22,7
194,24,7
195,7,7
196,72,7
197,76,7
198,22,7
199,79,7
202,22,7
208,34,7
210,11,7
212,34,7
216,22,7
219,22,7
221,22,7
222,70,7
223,70,7
224,72,7
225,79,7
226,22,7
231,22,7
237,86,7
239,51,7
241,14,7
242,22,7
245,72,7
248,8,7
249,69,7
250,8,7
251,36,7
253,72,7
256,79,7
259,34,7
261,20,7
262,38,7
264,24,7
265,51,7
266,68,7
267,20,7
268,20,7
269,22,7
270,34,7
271,13,7
272,91,7
273,94,7
274,41,7
277,59,7
278,20,7
279,20,7
280,86,7
283,18,7
285,81,7
288,94,7
291,27,7
292,20,7
293,34,7
295,52,7
297,24,7
300,51,7
304,13,7
305,82,7
309,90,7
312,22,7
313,14,7
314,29,7
321,78,7
323,81,7
325,17,7
326,18,7
328,26,7
330,5,7
331,23,7
332,24,7
333,20,7
335,86,7
341,22,7
342,31,7
344,22,7
345,34,7
347,12,7
351,76,7
353,22,7
354,22,7
355,70,7
356,22,7
359,49,7
362,4,7
365,37,7
369,4,7
373,12,7
374,18,7
375,89,7
378,8,7
379,56,7
380,5,7
381,64,7
383,34,7
385,79,7
394,34,7
396,64,7
398,77,7
399,9,7
400,13,7
401,37,7
402,37,7
406,49,7
407,51,7
410,50,7
414,24,7
416,71,7
417,29,7
419,72,7
421,81,7
422,7,7
423,26,7
428,13,7
429,34,7
430,50,7
431,22,7
433,22,7
435,70,7
436,52,7
437,37,7
439,80,7
441,46,7
444,90,7
446,15,7
447,23,7
448,56,7
450,20,7
452,64,7
454,18,7
456,79,7
457,26,7
458,46,7
460,94,7
462,73,7
466,79,7
467,19,7
469,70,7
470,63,7
471,34,7
472,51,7
473,27,7
474,7,7
475,65,7
476,83,7
477,21,7
478,69,7
481,8,7
482,84,7
483,93,7
484,92,7
487,12,7
488,33,7
489,91,7
491,21,7
494,21,7
499,42,7
501,55,7
502,29,7
504,17,7
505,23,7
506,21,7
508,81,7
510,5,7
512,24,7
516,10,7
519,81,7
520,7,7
522,82,7
524,24,7
525,51,7
529,14,7
532,21,7
536,26,7
539,35,7
541,24,7
542,16,7
543,34,7
545,71,7
548,56,7
549,67,7
550,92,7
554,67,7
556,65,7
561,77,7
562,24,7
563,52,7
564,17,7
568,18,7
572,24,7
573,37,7
574,77,7
575,16,7
578,16,7
581,43,7
582,41,7
585,24,7
586,40,7
588,40,7
590,40,7
592,40,7
593,40,7
598,40,7
600,40,7
601,40,7
602,40,7
604,40,7
611,49,7
612,80,7
614,37,7
616,50,7
618,12,7
622,26,7
624,22,7
625,50,7
