row_index,label,algorithm,feature_space
1137,1,clara_k8,text_pca64_only
1139,1,clara_k8,text_pca64_only
1146,0,clara_k8,text_pca64_only
1152,3,clara_k8,text_pca64_only
1155,2,clara_k8,text_pca64_only
1162,5,clara_k8,text_pca64_only
1165,1,clara_k8,text_pca64_only
1169,2,clara_k8,text_pca64_only
1173,3,clara_k8,text_pca64_only
1175,2,clara_k8,text_pca64_only
1176,2,clara_k8,text_pca64_only
1182,3,clara_k8,text_pca64_only
1193,3,clara_k8,text_pca64_only
1196,3,clara_k8,text_pca64_only
1199,6,clara_k8,text_pca64_only
1217,1,clara_k8,text_pca64_only
1221,2,clara_k8,text_pca64_only
1224,4,clara_k8,text_pca64_only
1230,1,clara_k8,text_pca64_only
1246,0,clara_k8,text_pca64_only
1248,2,clara_k8,text_pca64_only
1255,1,clara_k8,text_pca64_only
1256,1,clara_k8,text_pca64_only
1260,1,clara_k8,text_pca64_only
1278,0,clara_k8,text_pca64_only
1285,1,clara_k8,text_pca64_only
1309,6,clara_k8,text_pca64_only
1318,1,clara_k8,text_pca64_only
1322,0,clara_k8,text_pca64_only
1325,1,clara_k8,text_pca64_only
1330,6,clara_k8,text_pca64_only
1332,1,clara_k8,text_pca64_only
1343,0,clara_k8,text_pca64_only
1348,1,clara_k8,text_pca64_only
1349,7,clara_k8,text_pca64_only
1356,1,clara_k8,text_pca64_only
1364,0,clara_k8,text_pca64_only
1368,3,clara_k8,text_pca64_only
1370,0,clara_k8,text_pca64_only
1372,1,clara_k8,text_pca64_only
1380,3,clara_k8,text_pca64_only
1384,1,clara_k8,text_pca64_only
1387,1,clara_k8,text_pca64_only
1390,1,clara_k8,text_pca64_only
1402,1,clara_k8,text_pca64_only
1406,1,clara_k8,text_pca64_only
1413,1,clara_k8,text_pca64_only
1414,2,clara_k8,text_pca64_only
1419,3,clara_k8,text_pca64_only
1424,0,clara_k8,text_pca64_only
1430,6,clara_k8,text_pca64_only
1441,0,clara_k8,text_pca64_only
1445,0,clara_k8,text_pca64_only
1452,0,clara_k8,text_pca64_only
1458,1,clara_k8,text_pca64_only
1463,0,clara_k8,text_pca64_only
1469,1,clara_k8,text_pca64_only
1470,6,clara_k8,text_pca64_only
1472,6,clara_k8,text_pca64_only
1477,0,clara_k8,text_pca64_only
1478,0,clara_k8,text_pca64_only
1480,6,clara_k8,text_pca64_only
1483,2,clara_k8,text_pca64_only
1520,6,clara_k8,text_pca64_only
1543,0,clara_k8,text_pca64_only
1549,0,clara_k8,text_pca64_only
1550,0,clara_k8,text_pca64_only
1566,1,clara_k8,text_pca64_only
1570,3,clara_k8,text_pca64_only
1572,3,clara_k8,text_pca64_only
1574,3,clara_k8,text_pca64_only
1575,0,clara_k8,text_pca64_only
1576,0,clara_k8,text_pca64_only
1581,2,clara_k8,text_pca64_only
1583,3,clara_k8,text_pca64_only
1586,1,clara_k8,text_pca64_only
1592,2,clara_k8,text_pca64_only
1598,1,clara_k8,text_pca64_only
1599,2,clara_k8,text_pca64_only
1602,3,clara_k8,text_pca64_only
1632,2,clara_k8,text_pca64_only
