row_index,label,seed
4,31,13
6,11,13
7,5,13
8,5,13
12,22,13
21,5,13
23,27,13
24,8,13
27,40,13
32,53,13
33,26,13
34,12,13
35,30,13
39,5,13
40,5,13
41,53,13
49,27,13
52,46,13
53,46,13
54,12,13
62,9,13
69,57,13
70,52,13
72,14,13
73,0,13
75,7,13
80,53,13
83,55,13
85,25,13
86,8,13
87,8,13
88,5,13
95,53,13
97,60,13
98,5,13
101,52,13
102,9,13
103,48,13
104,13,13
106,45,13
107,45,13
108,29,13
109,5,13
110,38,13
114,12,13
115,5,13
119,7,13
120,13,13
122,12,13
124,19,13
127,25,13
128,60,13
130,13,13
131,46,13
134,19,13
135,5,13
137,5,13
140,0,13
142,29,13
144,11,13
147,59,13
149,5,13
150,0,13
151,39,13
152,36,13
156,25,13
158,12,13
160,10,13
161,45,13
167,25,13
170,53,13
172,13,13
173,45,13
175,49,13
176,19,13
179,57,13
180,34,13
182,41,13
186,17,13
187,57,13
190,44,13
191,36,13
194,45,13
195,4,13
196,0,13
197,55,13
198,36,13
199,26,13
202,36,13
208,51,13
210,5,13
212,3,13
216,36,13
219,36,13
221,36,13
222,5,13
223,5,13
224,0,13
225,26,13
226,36,13
231,36,13
237,41,13
239,13,13
241,34,13
242,36,13
245,11,13
248,54,13
249,8,13
250,54,13
251,8,13
253,0,13
256,56,13
259,13,13
261,8,13
262,21,13
264,45,13
265,13,13
266,21,13
267,21,13
268,21,13
269,36,13
270,10,13
271,53,13
272,57,13
273,7,13
274,2,13
277,53,13
278,54,13
279,21,13
280,59,13
283,17,13
285,15,13
288,11,13
291,27,13
292,35,13
293,13,13
295,13,13
297,45,13
300,38,13
304,53,13
305,6,13
309,34,13
312,61,13
313,34,13
314,52,13
321,46,13
323,15,13
325,10,13
326,17,13
328,14,13
330,39,13
331,54,13
332,45,13
333,8,13
335,58,13
341,36,13
342,1,13
344,36,13
345,31,13
347,11,13
351,57,13
353,36,13
354,36,13
355,5,13
356,36,13
359,49,13
362,31,13
365,31,13
369,31,13
373,51,13
374,17,13
375,47,13
378,55,13
379,45,13
380,39,13
381,21,13
383,13,13
385,26,13
394,52,13
396,11,13
398,13,13
399,8,13
400,53,13
401,46,13
402,46,13
406,49,13
407,48,13
410,52,13
414,45,13
416,6,13
417,13,13
419,11,13
421,15,13
422,11,13
423,14,13
428,53,13
429,0,13
430,48,13
431,36,13
433,36,13
435,5,13
436,13,13
437,46,13
439,8,13
441,42,13
