cluster_id,sample_size,silhouette_mean,silhouette_median,silhouette_p10,silhouette_p25,silhouette_p75,silhouette_p90,negative_silhouette_fraction
23,443,-0.019460972398519516,-0.01602715253829956,-0.07786730527877807,-0.04274969734251499,0.011264936998486519,0.033557897061109544,0.6681715575620768
26,324,-0.014484296552836895,-0.006576904095709324,-0.1144540287554264,-0.05224109813570976,0.03396962396800518,0.072100443392992,0.5308641975308642
24,348,-0.011703855358064175,-0.0045611741952598095,-0.09079603105783461,-0.039890559390187263,0.031183500308543444,0.06083766110241415,0.5344827586206896
31,366,-0.009602990932762623,-0.007142157293856144,-0.06801403686404228,-0.033179535530507565,0.019384505692869425,0.04692802391946316,0.5737704918032787
19,446,0.013446951285004616,-0.00016567490820307285,-0.08467824384570122,-0.036438971757888794,0.06501412205398083,0.13751120865345,0.5044843049327354
3,385,0.014324263669550419,0.019514407962560654,-0.047669819742441166,-0.014386884868144989,0.0533837266266346,0.0853458806872368,0.35844155844155845
4,298,0.018000951036810875,0.01648486778140068,-0.09353658333420752,-0.026526352390646935,0.07081864960491657,0.12708526700735095,0.37919463087248323
25,330,0.019489871338009834,0.019261322915554047,-0.05644092187285423,-0.01905205473303795,0.06272527948021889,0.10042198821902275,0.3787878787878788
10,311,0.019698932766914368,0.023785782977938652,-0.08169076591730118,-0.02645609900355339,0.06954863667488098,0.11790987104177475,0.3729903536977492
30,356,0.020245177671313286,0.01589329168200493,-0.05320512689650059,-0.01524302689358592,0.051985668018460274,0.10194921866059303,0.37640449438202245
18,504,0.025074852630496025,0.022621002048254013,-0.05056179240345955,-0.01020164042711258,0.06653016619384289,0.10967118442058563,0.3273809523809524
29,349,0.02713877335190773,0.021289469674229622,-0.03552168384194373,-0.004717912059277296,0.062490273267030716,0.10698462426662445,0.2836676217765043
0,585,0.03376654163002968,0.03796471282839775,-0.04341639950871467,-0.0031780959106981754,0.08005329966545105,0.11478123366832733,0.27350427350427353
14,333,0.04847340285778046,0.03801366686820984,-0.055080989748239516,-0.009929302148520947,0.10861609876155853,0.17534618377685549,0.3003003003003003
12,455,0.05084977298974991,0.04512348771095276,-0.033852268010377884,0.007509246002882719,0.0984649509191513,0.15101375579833987,0.21978021978021978
20,348,0.05676664039492607,0.05508872866630554,-0.059537097811698914,0.0010688094043871388,0.1384318470954895,0.17177964299917226,0.2442528735632184
28,333,0.07500523328781128,0.06517459452152252,-0.009581601433455943,0.032551109790802,0.12703080475330353,0.17309339940547944,0.13813813813813813
1,332,0.09597133845090866,0.09496630728244781,0.007844769908115272,0.05329272150993347,0.13835207000374794,0.19933132827281957,0.08132530120481928
8,316,0.10561754554510117,0.09573158621788025,0.01660138461738825,0.04690193384885788,0.16550428792834282,0.2227584645152092,0.060126582278481014
21,198,0.11258868873119354,0.09420065581798553,-0.05095764175057411,0.026733378879725933,0.23697519302368164,0.28162047266960144,0.14646464646464646
9,399,0.11651043593883514,0.106150321662426,0.01686409078538418,0.04958980903029442,0.18062897771596909,0.23061414659023283,0.06766917293233082
11,305,0.16970176994800568,0.16343656182289124,0.05315096080303192,0.09728821367025375,0.24044494330883026,0.3082678556442261,0.02622950819672131
22,204,0.1773851066827774,0.17035695910453796,0.0902235560119152,0.11806726641952991,0.2428242638707161,0.2797333598136902,0.014705882352941176
27,383,0.18147657811641693,0.19365419447422028,0.009720663912594319,0.07461811974644661,0.3008360266685486,0.3349168121814728,0.07571801566579635
5,159,0.20214077830314636,0.1872711181640625,0.0591985821723938,0.10655756667256355,0.3085255026817322,0.40350152254104615,0.025157232704402517
17,377,0.36134687066078186,0.38634437322616577,0.20605383515357972,0.3095429837703705,0.436023473739624,0.4694371700286865,0.0
16,95,0.4940018057823181,0.5275792479515076,0.3040230691432953,0.3603982478380203,0.6253015398979187,0.6392807006835938,0.0
2,186,0.5362420678138733,0.609386146068573,0.17915693670511246,0.5963808298110962,0.6278160214424133,0.6295619606971741,0.0
7,164,0.5476047992706299,0.5697571635246277,0.42207858562469486,0.5094002485275269,0.6071715205907822,0.6446880221366882,0.0
15,152,0.5841330289840698,0.6015127301216125,0.5054759383201599,0.5491922348737717,0.6413987576961517,0.6602331876754761,0.0
13,105,0.6103224754333496,0.6160209774971008,0.5607064366340637,0.5632680058479309,0.6443583965301514,0.6733596444129943,0.0
6,111,0.9286556839942932,0.9282206892967224,0.9121180176734924,0.9210883378982544,0.9338326454162598,0.9419564604759216,0.0
