row_index,label
0,27
1,19
2,27
3,3
4,17
5,29
6,4
7,3
8,3
9,3
10,3
11,29
12,29
13,3
14,30
15,27
16,8
17,26
18,21
19,3
20,3
21,3
22,10
23,21
24,29
25,19
26,8
27,30
28,9
29,21
30,8
31,22
32,8
33,4
34,26
35,19
36,4
37,24
38,4
39,3
40,3
41,8
42,4
43,3
44,3
45,19
46,3
47,18
48,4
49,12
50,27
51,3
52,8
53,31
54,10
55,19
56,10
57,29
58,2
59,3
60,8
61,24
62,3
63,6
64,20
65,24
66,8
67,4
68,29
69,22
70,4
71,0
72,6
73,4
74,7
75,21
76,20
77,17
78,20
79,15
80,13
81,19
82,10
83,20
84,9
85,19
86,20
87,17
88,3
89,16
90,11
91,16
92,3
93,8
94,3
95,25
96,3
97,3
98,3
99,29
100,10
101,2
102,3
103,12
104,8
105,3
106,31
107,17
108,31
109,3
110,17
111,8
112,8
113,12
114,26
115,3
116,8
117,12
118,17
119,20
120,8
121,9
122,26
123,5
124,19
125,25
126,20
127,5
128,27
129,12
130,8
131,27
132,27
133,8
134,8
135,3
136,3
137,3
138,8
139,3
140,4
141,29
142,8
143,4
144,15
145,6
146,30
147,15
148,15
149,3
150,4
151,7
152,19
153,20
154,20
155,22
156,19
157,8
158,10
159,29
160,24
161,17
162,3
163,13
164,8
165,11
166,8
167,12
168,31
169,3
170,8
171,12
172,8
173,17
174,16
175,13
176,19
177,13
178,12
179,26
180,9
181,3
182,16
183,25
184,27
185,0
186,29
187,8
188,30
189,30
190,6
191,18
192,4
193,7
194,29
195,15
196,4
197,24
198,19
199,30
200,4
201,3
202,18
203,4
204,1
205,18
206,18
207,19
208,18
209,19
210,3
211,3
212,19
213,18
214,18
215,19
216,19
217,18
218,19
219,19
220,18
221,18
222,3
223,3
224,4
225,4
226,19
227,4
228,18
229,4
230,19
231,18
232,4
233,19
234,19
235,3
236,8
237,22
238,17
239,2
240,19
241,9
242,19
243,12
244,16
245,4
246,4
247,3
248,20
249,17
250,20
251,17
252,5
253,4
254,29
255,0
256,30
257,23
258,8
259,18
260,20
261,20
262,18
263,18
264,29
265,8
266,17
267,20
268,20
269,19
270,19
271,25
272,11
273,21
274,24
275,14
276,20
277,8
278,20
279,20
280,15
281,4
282,10
283,29
284,21
285,0
286,31
287,6
288,21
289,7
290,20
291,13
292,20
293,18
294,9
295,22
296,19
297,29
298,29
299,8
300,8
301,12
302,3
303,4
304,25
305,30
306,3
307,8
308,8
309,21
310,8
311,25
312,5
313,9
314,2
315,19
316,21
317,18
318,20
319,13
320,13
321,12
322,30
323,0
324,16
325,26
326,29
327,30
328,6
329,20
330,7
331,16
332,29
333,20
334,18
335,20
336,29
337,18
338,18
339,20
340,27
341,19
342,11
343,18
344,19
345,18
346,18
347,4
348,19
349,2
350,12
351,15
352,19
353,18
354,18
355,3
356,19
357,8
358,12
359,13
360,30
361,24
362,12
363,17
364,12
365,12
366,12
367,26
368,9
369,12
370,4
371,30
372,10
373,1
374,29
375,10
376,0
377,31
378,20
379,31
380,7
381,24
382,3
383,18
384,30
385,4
386,8
387,18
388,4
389,4
390,12
391,4
392,30
393,18
394,18
395,31
396,4
397,8
398,26
399,11
400,25
401,8
402,31
403,21
404,8
405,9
406,13
407,8
408,12
409,8
410,8
411,22
412,17
413,12
414,29
415,31
416,22
417,2
418,8
419,4
420,1
421,0
422,31
423,6
424,29
425,7
426,19
427,18
428,25
429,19
430,8
431,18
432,18
433,18
434,18
435,3
436,31
437,12
438,8
439,24
440,8
441,10
442,8
443,8
444,21
445,30
446,16
447,16
448,21
449,10
450,20
451,0
452,19
453,4
454,29
455,10
456,31
457,6
458,10
459,7
460,21
461,19
462,11
463,12
464,12
465,2
466,4
467,4
468,4
469,3
470,5
471,19
472,26
473,13
474,19
475,15
476,5
477,15
478,17
479,19
480,21
481,20
482,27
483,8
484,5
485,8
486,15
487,4
488,21
489,15
490,15
491,15
492,1
493,15
494,15
495,3
496,3
497,3
498,10
499,19
500,9
501,27
502,22
503,5
504,22
505,16
506,15
507,1
508,0
509,6
510,7
511,5
512,29
513,12
514,13
515,21
516,23
517,9
518,29
519,0
520,4
521,6
522,30
523,7
524,29
525,8
526,13
527,21
528,20
529,9
530,17
531,17
532,15
533,0
534,29
535,15
536,6
537,8
538,7
539,22
540,5
541,29
542,12
543,18
544,25
545,22
546,20
547,8
548,21
549,22
550,5
551,24
552,8
553,9
554,18
555,5
556,15
557,21
558,29
559,8
560,7
561,22
562,29
563,22
564,16
565,16
566,2
567,29
568,29
569,1
570,7
571,24
572,29
573,14
574,8
575,8
576,5
577,8
578,8
579,16
580,12
581,12
582,24
583,21
584,22
585,29
586,25
587,25
588,25
589,25
590,25
591,25
592,25
593,25
594,25
595,25
596,25
597,25
598,25
599,25
600,25
601,25
602,25
603,25
604,25
605,25
606,25
607,18
608,19
609,18
610,4
611,13
612,8
613,9
614,12
615,12
616,8
617,8
618,4
619,15
620,30
621,1
622,6
623,15
624,18
625,8
626,25
627,25
628,25
629,22
630,25
631,25
632,25
633,4
634,25
635,8
636,25
637,21
638,25
639,15
640,22
641,5
642,12
643,12
644,17
645,29
646,25
647,22
648,27
649,25
650,25
651,24
652,24
653,9
654,12
655,29
656,11
657,26
658,8
659,31
660,1
661,6
662,25
663,24
664,7
665,12
666,18
667,12
668,25
669,25
670,22
671,8
672,8
673,11
674,22
675,29
676,25
677,22
678,25
679,29
680,25
681,12
682,8
683,19
684,16
685,31
686,24
687,8
688,11
689,8
690,9
691,29
692,11
693,4
694,10
695,4
696,29
697,4
698,1
699,23
700,16
701,1
702,7
703,11
704,21
705,28
706,8
707,4
708,24
709,5
710,11
711,6
712,11
713,8
714,19
715,28
716,29
717,28
718,12
719,27
720,13
721,11
722,25
723,12
724,8
725,4
726,8
727,11
728,19
729,4
730,4
731,11
732,4
733,4
734,11
735,11
736,12
737,4
738,8
739,6
740,4
741,6
742,30
743,11
744,21
745,11
746,11
747,19
748,16
749,4
750,12
751,21
752,12
753,8
754,8
755,8
756,14
757,8
758,10
759,30
760,30
761,11
762,24
763,19
764,1
765,4
766,11
767,24
768,11
769,29
770,29
771,11
772,10
773,6
774,11
775,8
776,11
777,30
778,8
779,8
780,11
781,11
782,29
783,11
784,8
785,5
786,17
787,10
788,12
789,12
790,15
791,8
792,15
793,8
794,8
795,8
796,11
797,8
798,8
799,8
800,11
801,11
802,26
803,11
804,8
805,19
806,26
807,4
808,8
809,22
810,8
811,11
812,11
813,8
814,11
815,8
816,5
817,15
818,11
819,10
820,11
821,11
822,8
823,11
824,22
825,12
826,11
827,30
828,11
829,11
830,26
831,8
832,13
833,21
834,11
835,12
836,11
837,13
838,11
839,8
840,11
841,19
842,11
843,29
844,11
845,11
846,21
847,11
848,11
849,21
850,8
851,11
852,8
853,28
854,8
855,28
856,20
857,28
858,17
859,29
860,1
861,28
862,20
863,28
864,12
865,28
866,29
867,29
868,19
869,22
870,11
871,31
872,31
873,24
874,11
875,21
876,29
877,8
878,8
879,11
880,30
881,11
882,28
883,11
884,11
885,11
886,28
887,8
888,28
889,8
890,20
891,11
892,8
893,11
894,11
895,22
896,16
897,22
898,30
899,8
900,29
901,20
902,12
903,11
904,16
905,12
906,13
907,16
908,28
909,19
910,11
911,8
912,21
913,21
914,11
915,8
916,8
917,5
918,5
919,24
920,8
921,1
922,8
923,22
924,12
925,17
926,15
927,15
928,11
929,20
930,11
931,5
932,11
933,8
934,8
935,8
936,19
937,10
938,3
939,3
940,3
941,10
942,10
943,10
944,27
945,15
946,23
947,30
948,26
949,21
950,13
951,10
952,2
953,24
954,25
955,3
956,3
957,3
958,3
959,2
960,16
961,10
962,10
963,10
964,23
965,30
966,4
967,21
968,26
969,18
970,8
971,21
972,21
973,21
974,17
975,17
976,26
977,30
978,30
979,22
980,10
981,3
982,3
983,25
984,3
985,22
986,22
987,22
988,26
989,22
990,12
991,23
992,15
993,0
994,8
995,2
996,29
997,15
998,30
999,8
1000,22
1001,6
1002,15
1003,7
1004,4
1005,1
