id,label
0,7
1,4
2,1
3,4
4,2
5,7
6,3
7,5
8,1
9,1
10,1
11,0
12,1
13,2
14,4
15,1
16,7
17,2
18,5
19,3
20,1
21,2
22,0
23,4
24,5
25,2
26,3
27,4
28,2
29,0
30,6
31,2
32,5
33,4
34,2
35,3
36,4
37,7
38,1
39,4
40,4
41,1
42,4
43,5
44,1
45,0
46,0
47,4
48,2
49,1
50,1
51,4
52,2
53,1
54,4
55,3
56,4
57,6
58,0
59,4
60,4
61,2
62,2
63,5
64,0
65,2
66,5
67,4
68,1
69,1
70,2
71,1
72,4
73,3
74,7
75,3
76,2
77,5
78,4
79,1
80,3
81,1
82,0
83,1
84,3
85,6
86,3
87,2
88,0
89,4
90,4
91,0
92,5
93,1
94,4
95,3
96,1
97,1
98,3
99,3
100,2
101,2
102,1
103,5
104,0
105,2
106,4
107,1
108,5
109,2
110,7
111,2
112,2
113,2
114,6
115,3
116,0
117,7
118,2
119,2
120,3
121,6
122,5
123,3
124,2
125,4
126,4
127,4
128,5
129,4
130,4
131,5
132,0
133,1
134,1
135,4
136,6
137,2
138,3
139,2
140,4
141,5
142,5
143,2
144,6
145,5
146,5
147,4
148,6
149,1
150,3
151,4
152,2
153,0
154,0
155,4
156,2
157,1
158,3
159,4
160,2
161,5
162,4
163,2
164,3
165,3
166,4
167,5
168,2
169,2
170,2
171,1
172,1
173,4
174,4
175,0
176,3
177,6
178,0
179,2
180,1
181,2
182,4
183,3
184,0
185,3
186,2
187,4
188,5
189,0
190,5
191,4
192,5
193,2
194,3
195,2
196,2
197,1
198,6
199,4
200,2
201,6
202,7
203,1
204,7
205,1
206,2
207,4
208,2
209,0
210,4
211,6
212,5
213,4
214,4
215,6
216,1
217,4
218,4
219,0
220,5
221,1
222,6
223,3
224,1
225,7
226,1
227,2
228,4
229,3
230,6
231,1
232,1
233,3
234,7
235,6
236,4
237,3
238,1
239,6
240,4
241,3
242,4
243,4
244,6
245,5
246,7
247,1
248,1
249,3
250,1
251,1
252,6
253,2
254,7
255,4
256,1
257,5
258,1
259,4
260,2
261,2
262,1
263,4
264,1
265,7
266,3
267,0
268,2
269,3
270,6
271,2
272,1
273,5
274,4
275,2
276,1
277,4
278,4
279,4
280,6
281,7
282,2
283,1
284,3
285,0
286,4
287,3
288,4
289,3
290,4
291,2
292,1
293,1
294,7
295,0
296,6
297,6
298,4
299,0
300,2
301,2
302,1
303,5
304,0
305,7
306,7
307,2
308,5
309,2
310,7
311,3
312,2
313,1
314,2
315,2
316,4
317,1
318,2
319,3
320,3
321,2
322,1
323,4
324,4
325,5
326,2
327,1
328,4
329,1
330,6
331,3
332,2
333,0
334,6
335,5
336,0
337,7
338,6
339,1
340,6
