x,y
9.581749,-7.89549
2.9947004,-3.9343736
0.5721443,-4.879937
-0.9245703,-11.116044
-12.6568985,9.277161
11.856305,-11.874058
12.640735,19.149906
-17.211285,0.34303495
-6.673724,-9.222731
1.5154188,-13.794099
-6.021364,-9.59066
0.57122964,12.723211
-1.9227405,-20.295174
-2.836469,8.384663
7.5657105,-3.1556873
6.1999593,-13.838489
20.423222,-8.2507715
-6.336605,8.540391
-14.10118,4.45313
9.240912,13.995211
-6.3161926,-4.7044225
-10.570008,8.578097
-4.2325406,15.936237
11.519581,-1.1663169
-7.3072815,6.6267767
-4.729085,7.3093004
2.7591233,7.5668683
2.2962983,-8.648567
-8.955507,13.09532
2.1325111,12.954108
25.221052,2.2998478
-3.307974,1.8940617
-9.87441,0.11596054
-5.695924,-11.690781
-4.34517,6.619409
4.117831,7.494521
1.0619162,-12.349677
5.885015,-11.781934
-5.4403515,-22.281477
1.9766645,-13.193356
0.3044922,-5.154264
-5.104419,-10.348595
5.326453,-5.796995
-7.6249385,-3.7122416
-1.5234386,-12.888857
-0.011204629,18.09975
-3.3970008,15.89165
4.6427617,-7.5154886
-11.059272,-0.8055262
-6.741406,-13.472541
5.4262214,-12.498502
-0.77362186,-14.3250475
-17.461174,4.3859615
-6.7270026,-17.8506
6.154421,-4.284367
3.5654142,14.228765
9.4418745,-9.231396
8.086656,-9.051281
2.6990771,21.501736
0.22205524,-10.158295
20.369202,4.038027
-8.91834,1.9601653
-11.524649,8.699057
-6.797416,4.37506
5.8525577,20.517395
-3.8260546,5.73914
-13.294751,6.0109086
7.03417,-7.958647
-9.705993,-11.286154
3.2941248,-13.93586
-9.910633,2.3416584
4.820823,-10.704192
2.322912,-10.837125
-3.706686,7.0887203
8.38368,-11.728149
-0.26381975,5.4486804
-20.316126,1.2281209
-13.015301,3.3108537
3.4994335,-8.54252
6.4252224,-6.153792
3.2195575,3.938673
2.9457989,-10.3515215
5.4623857,5.632526
3.0344424,-14.257829
10.141319,18.972122
13.863041,-1.4632374
-2.7734978,14.1592245
-3.1373146,3.7479403
1.9233072,6.0288463
1.0244459,-7.158547
7.337685,-7.1017513
4.099204,18.44587
-10.676343,-0.71397686
-1.7908539,-6.622096
6.474719,-7.7920504
-5.075137,10.915957
-3.807575,-8.299198
-7.2153664,-8.901547
12.612787,16.22301
-1.3133607,2.9162319
-21.78471,2.996898
-10.704822,2.9483442
4.9508834,-6.545018
-19.720106,-3.372608
-3.1376865,13.298826
-10.782261,10.372844
0.77896804,-6.7631125
5.1915903,-14.308675
-18.011427,3.9287438
-7.4420266,10.476233
12.616847,11.232319
-6.0033393,2.8726623
-9.842939,9.551021
-2.2476592,7.3773375
10.709358,-10.6607
9.055744,15.728994
-6.704389,14.340274
20.509571,-4.797204
-19.015514,-9.125804
-18.049711,2.4377422
-3.7511528,10.777137
9.768061,0.48628676
-20.016905,-1.4709822
12.277422,16.036554
1.8136587,3.2787726
2.012586,-10.26407
8.571021,-6.2887874
8.445591,-6.834233
-1.7636042,-0.008918091
4.350856,-7.8197985
11.568142,-4.146724
-8.100681,8.037584
-4.107612,17.145906
1.7283633,-14.938981
7.6009917,-13.309349
-0.15871741,-10.268057
11.957746,-3.310216
-14.89137,7.9997864
4.6737843,15.297102
-5.749986,6.1229877
7.3627305,-9.304889
-9.226516,-0.30274853
-14.106328,5.2398643
-5.773938,0.27848536
10.071763,-4.3831143
-16.623241,3.7028913
-17.062065,4.449528
-2.4841642,-11.387293
11.443497,3.4684014
-0.4193712,-6.0792065
-0.29552212,10.665894
6.6086173,-2.8788316
-12.743128,9.398203
-5.913023,9.232202
6.359586,6.416227
8.171566,2.512792
-14.122888,11.053385
-5.0515304,-11.24269
10.615878,10.940014
3.987239,-10.788042
-3.8306432,2.8196623
-22.42977,-0.24266663
-5.663534,-3.6577103
-14.132109,11.04887
16.575045,16.68026
0.36035052,11.0741625
17.699203,0.5927531
-22.378386,2.6570485
-6.4436517,4.3855805
-4.831437,2.9815748
-6.1149397,6.03884
-5.144527,-14.054825
-4.900796,-10.725555
1.9859722,-3.7442133
2.1152406,-2.4083104
-1.8246439,16.148014
1.8265815,14.296741
7.110852,-0.007772624
1.1747507,6.5590215
-10.664284,8.746392
-4.8691483,-18.902704
-7.0347977,-2.6959267
5.077289,-0.22196242
-0.21548462,8.358629
2.182451,14.3242855
-5.0948143,8.700653
-12.737483,9.383384
9.727127,1.223259
-11.332593,7.7234893
-5.047606,14.381673
-12.203127,-1.6561983
3.079463,-9.991872
-8.706576,3.9592092
-12.756387,3.5322285
-2.2929478,6.025602
-6.1964016,12.043359
-5.192901,5.1764402
2.2754343,-12.930574
13.975612,4.995895
12.150806,-8.788309
-14.933563,5.116418
16.471659,-7.4261284
11.582553,-13.574526
-4.052914,-9.244245
13.508039,-9.58486
-6.98677,-16.014606
-5.469257,10.773474
2.3113322,-4.3177123
-5.2591314,7.450259
13.651493,19.402822
2.0161679,-11.08045
27.373703,11.133542
-5.0560756,5.054183
6.26348,-9.618712
-0.0365281,-7.5354357
19.170122,3.2834063
4.9550385,-9.507665
3.0585763,-0.449164
-2.8039014,-10.817892
-5.6880336,12.549709
-8.208114,-5.0164347
-2.1791787,-7.3970284
12.270701,-6.0312424
8.208256,17.197527
-4.2090816,-7.5761414
