algo,param,silhouette,dbi,coverage_pct,n_clusters,silhouette_sample
agg_ward_k8,,-0.0616953601177732,8.77462478852228,100.0,8,1000
clara_k8_m10000_t5,,0.2805249821979406,1.474884045145688,100.0,8,1000
gmm_k8,,0.1271751051625543,2.0542467689531296,100.0,8,1000
hdbscan_minsize50,,0.6762296247842927,0.9639069969187972,22.22,2,1000
minibatch_k8,,0.2713343747208646,1.5040916279696668,100.0,8,1000
mst_k8,,-0.0506453602934202,0.3608524717279064,100.0,8,1000
