feature_space,algorithm,k,fit_n_rows,eval_n_rows,coverage_pct,n_clusters,silhouette_cosine,silhouette_euclidean,dbi,calinski_harabasz,inertia,largest_cluster_pct,top3_cluster_pct,top5_cluster_pct,min_cluster_size,median_cluster_size,max_cluster_size,normalized_entropy,gini,n_clusters_lt_100,n_clusters_lt_500,notes
text_pca64_only,MiniBatchKMeans,96,100000,10000,100.0,96,0.11607905477285385,0.04587670415639877,2.9968452871744446,47.74960921429384,4435355.5,2.401,6.5809999999999995,9.863,65,1082.5,2401,0.9778878668295385,0.2348829166666666,1,14,low_interpretability_clusters=2;publisher_warnings=48;stock_warnings=1
text_pca64_lexical,MiniBatchKMeans,8,100000,10000,100.0,8,0.04492774233222008,0.007917540147900581,5.6219736519072505,99.68309263917232,6088043.0,16.145,46.359,73.536,4039,13588.5,16145,0.9732906848583284,0.15110749999999995,0,0,low_interpretability_clusters=1;publisher_warnings=1;stock_warnings=0
text_pca64_lexical,MiniBatchKMeans,12,100000,10000,100.0,12,0.05359051376581192,0.0037047474179416895,4.582002615141576,96.04699707375055,5890557.0,13.261000000000001,36.276,56.830000000000005,1129,8865.5,13261,0.9598877499010487,0.22357500000000008,0,0,low_interpretability_clusters=0;publisher_warnings=2;stock_warnings=0
text_pca64_lexical,MiniBatchKMeans,16,100000,10000,100.0,16,0.0656389445066452,0.01793440617620945,4.045593427291879,95.12748472726459,5710611.5,11.443,31.436999999999998,48.731,1205,6359.5,11443,0.9481405531529693,0.28434625,0,0,low_interpretability_clusters=0;publisher_warnings=6;stock_warnings=0
text_pca64_lexical,MiniBatchKMeans,24,100000,10000,100.0,24,0.0919489935040474,0.03179939091205597,3.6896076332253753,89.32496942679627,5412696.0,7.563000000000001,21.831,34.188,1205,4377.0,7563,0.9661660627225511,0.25026499999999996,0,0,low_interpretability_clusters=0;publisher_warnings=8;stock_warnings=0
text_pca64_lexical,MiniBatchKMeans,32,100000,10000,100.0,32,0.10906727612018585,0.03992471843957901,3.396135481487616,83.85475549939022,5179710.0,6.091,16.155,25.502000000000002,914,3279.0,6091,0.9755661322281801,0.2233799999999999,0,0,low_interpretability_clusters=0;publisher_warnings=11;stock_warnings=0
text_pca64_lexical,MiniBatchKMeans,40,100000,10000,100.0,40,0.1064806878566742,0.03226589784026146,3.3462898706750805,75.11346700801771,5049519.5,5.165,12.284,19.195999999999998,599,2614.0,5165,0.9809490595110545,0.20392750000000004,0,0,low_interpretability_clusters=0;publisher_warnings=16;stock_warnings=0
text_pca64_lexical,MiniBatchKMeans,48,100000,10000,100.0,48,0.11085083335638046,0.03470567613840103,3.1345239530320193,70.8650377115871,4902700.5,3.9469999999999996,10.979,17.083000000000002,165,2104.5,3947,0.9775517439187218,0.21749208333333336,0,1,low_interpretability_clusters=0;publisher_warnings=18;stock_warnings=0
text_pca64_lexical,MiniBatchKMeans,64,100000,10000,100.0,64,0.10353080928325653,0.03339410200715065,3.0477949290463897,59.77078349337872,4744793.0,4.182,9.896,14.915000000000001,63,1538.0,4182,0.973196651508988,0.25422875,1,3,low_interpretability_clusters=1;publisher_warnings=30;stock_warnings=0
text_pca64_lexical,MiniBatchKMeans,96,100000,10000,100.0,96,0.11234449595212936,0.05068081617355347,2.9909585606818356,47.90162901691226,4494581.0,2.85,7.563000000000001,11.314,122,1053.5,2850,0.9764409318040672,0.24771854166666651,0,12,low_interpretability_clusters=1;publisher_warnings=49;stock_warnings=1
