row_index,label,seed
4,8,13
6,9,13
7,3,13
8,3,13
12,4,13
21,3,13
23,12,13
24,13,13
27,10,13
32,9,13
33,10,13
34,12,13
35,13,13
39,3,13
40,3,13
41,9,13
49,4,13
52,4,13
53,4,13
54,12,13
62,3,13
69,1,13
70,9,13
72,15,13
73,6,13
75,12,13
80,1,13
83,2,13
85,0,13
86,13,13
87,13,13
88,3,13
95,9,13
97,3,13
98,3,13
101,9,13
102,3,13
103,4,13
104,0,13
106,2,13
107,12,13
108,4,13
109,3,13
110,2,13
114,0,13
115,3,13
119,4,13
120,9,13
122,12,13
124,9,13
127,0,13
128,2,13
130,4,13
131,4,13
134,9,13
135,3,13
137,3,13
140,9,13
142,13,13
144,9,13
147,14,13
149,3,13
150,6,13
151,9,13
152,13,13
156,0,13
158,12,13
160,8,13
161,12,13
167,4,13
170,9,13
172,8,13
173,12,13
175,1,13
176,9,13
179,14,13
180,2,13
182,8,13
186,6,13
187,9,13
190,15,13
191,0,13
194,6,13
195,14,13
196,9,13
197,0,13
198,13,13
199,10,13
202,0,13
208,10,13
210,3,13
212,6,13
216,13,13
219,13,13
221,13,13
222,3,13
223,3,13
224,9,13
225,10,13
226,13,13
231,13,13
237,8,13
239,3,13
241,2,13
242,13,13
245,9,13
248,2,13
249,13,13
250,2,13
251,13,13
253,9,13
256,10,13
259,0,13
261,13,13
262,13,13
264,6,13
265,0,13
266,12,13
267,13,13
268,13,13
269,13,13
270,13,13
271,9,13
272,13,13
273,2,13
274,13,13
277,9,13
278,13,13
279,13,13
280,14,13
283,6,13
285,6,13
288,2,13
291,1,13
292,8,13
293,0,13
295,9,13
297,6,13
300,3,13
304,9,13
305,10,13
309,2,13
312,0,13
313,2,13
314,9,13
321,4,13
323,6,13
325,8,13
326,6,13
328,15,13
330,9,13
331,12,13
332,6,13
333,13,13
335,9,13
341,13,13
342,4,13
344,13,13
345,6,13
347,9,13
351,14,13
353,1,13
354,0,13
355,3,13
356,0,13
359,1,13
362,4,13
365,4,13
369,4,13
373,9,13
374,6,13
375,7,13
378,9,13
379,2,13
380,9,13
381,13,13
383,0,13
385,6,13
394,0,13
396,9,13
398,5,13
399,13,13
400,9,13
401,4,13
402,4,13
406,1,13
407,4,13
410,9,13
414,6,13
416,5,13
417,5,13
419,9,13
421,6,13
422,9,13
423,15,13
428,9,13
429,13,13
430,6,13
431,13,13
433,0,13
435,3,13
436,8,13
437,4,13
439,13,13
441,12,13
444,2,13
446,9,13
447,8,13
448,2,13
450,12,13
452,14,13
454,6,13
456,6,13
457,15,13
458,12,13
460,2,13
462,13,13
466,10,13
467,9,13
469,3,13
470,0,13
471,13,13
472,4,13
473,1,13
474,9,13
475,9,13
476,0,13
477,14,13
478,4,13
481,2,13
482,2,13
483,9,13
484,0,13
487,9,13
488,9,13
489,14,13
491,14,13
494,14,13
499,9,13
501,9,13
502,5,13
504,8,13
505,13,13
506,14,13
508,6,13
510,9,13
512,6,13
516,8,13
519,6,13
520,9,13
522,10,13
524,6,13
525,9,13
529,2,13
532,14,13
536,15,13
539,5,13
541,6,13
542,9,13
543,0,13
545,5,13
548,2,13
549,1,13
550,8,13
554,5,13
556,9,13
561,5,13
562,6,13
563,5,13
564,8,13
568,6,13
572,6,13
573,4,13
574,4,13
575,4,13
578,14,13
581,4,13
582,13,13
585,6,13
586,1,13
588,1,13
590,1,13
592,1,13
593,1,13
598,1,13
600,1,13
601,1,13
602,1,13
604,1,13
611,1,13
612,13,13
614,4,13
616,8,13
618,6,13
622,15,13
624,0,13
625,1,13
627,1,13
628,1,13
629,9,13
630,1,13
631,1,13
632,1,13
640,5,13
642,4,13
643,5,13
644,5,13
646,1,13
647,5,13
651,2,13
652,2,13
653,2,13
655,6,13
659,6,13
662,1,13
664,9,13
665,4,13
666,13,13
669,1,13
672,4,13
673,13,13
674,8,13
675,6,13
676,1,13
677,5,13
679,4,13
680,1,13
681,4,13
685,2,13
686,9,13
687,4,13
688,12,13
689,9,13
690,2,13
695,9,13
696,6,13
697,9,13
698,6,13
700,13,13
701,9,13
702,9,13
703,13,13
708,9,13
709,2,13
711,9,13
712,9,13
713,4,13
716,4,13
718,4,13
720,1,13
724,1,13
725,13,13
726,4,13
729,9,13
730,13,13
732,9,13
736,4,13
738,4,13
745,13,13
748,13,13
749,13,13
751,12,13
752,4,13
754,13,13
756,5,13
758,12,13
759,10,13
762,13,13
763,13,13
766,13,13
771,13,13
772,12,13
773,9,13
774,13,13
775,4,13
776,13,13
777,10,13
779,13,13
780,13,13
782,4,13
784,4,13
788,9,13
790,14,13
793,4,13
795,4,13
800,4,13
802,4,13
803,4,13
804,4,13
807,13,13
808,4,13
809,5,13
811,4,13
812,13,13
816,8,13
820,13,13
821,13,13
822,8,13
828,4,13
829,4,13
831,4,13
833,12,13
836,13,13
838,5,13
839,4,13
842,4,13
843,4,13
845,13,13
848,13,13
849,2,13
851,13,13
852,0,13
853,11,13
856,2,13
862,8,13
866,4,13
867,6,13
870,13,13
871,13,13
872,8,13
873,13,13
874,13,13
875,4,13
876,2,13
878,4,13
879,13,13
880,10,13
883,13,13
884,13,13
885,13,13
886,11,13
890,5,13
892,4,13
895,8,13
896,4,13
897,5,13
898,10,13
902,5,13
904,8,13
905,4,13
906,1,13
911,13,13
913,2,13
914,4,13
915,13,13
920,4,13
921,9,13
923,3,13
926,14,13
928,13,13
930,13,13
931,8,13
933,4,13
934,13,13
935,13,13
936,13,13
938,3,13
940,3,13
942,12,13
943,12,13
945,14,13
948,0,13
949,12,13
951,12,13
953,13,13
954,12,13
955,3,13
957,3,13
959,3,13
960,13,13
962,12,13
963,12,13
964,8,13
965,10,13
966,6,13
967,9,13
970,4,13
971,9,13
976,12,13
978,10,13
979,8,13
980,12,13
985,14,13
986,5,13
988,12,13
989,5,13
994,7,13
995,3,13
996,6,13
998,10,13
999,0,13
1000,6,13
1001,15,13
1002,14,13
1003,9,13
1005,9,13
1012,4,13
1013,12,13
1018,4,13
1019,9,13
1020,3,13
1021,14,13
1022,12,13
1024,8,13
1025,13,13
1028,14,13
1029,6,13
1030,6,13
1031,8,13
1032,10,13
1033,10,13
1034,15,13
1035,6,13
1036,9,13
1038,3,13
1039,4,13
1040,10,13
1041,13,13
1043,4,13
1045,4,13
1048,13,13
1050,6,13
1053,4,13
1054,4,13
1057,8,13
1059,14,13
1060,3,13
1061,4,13
1064,3,13
1065,12,13
1068,9,13
1070,6,13
1072,10,13
1075,6,13
1077,13,13
1078,4,13
1081,0,13
1087,14,13
1088,8,13
1090,13,13
1091,0,13
1092,13,13
1096,4,13
1097,8,13
1098,5,13
1099,4,13
1101,12,13
1106,9,13
1108,6,13
1114,6,13
1116,0,13
1117,4,13
1118,0,13
1121,13,13
1122,10,13
1123,14,13
1124,2,13
1126,3,13
1127,2,13
1131,4,13
1137,10,13
1138,4,13
1139,9,13
1141,10,13
1146,9,13
1148,12,13
1152,3,13
1154,0,13
1155,12,13
1162,15,13
1163,15,13
1164,3,13
1165,5,13
1166,10,13
1167,3,13
1169,5,13
1170,3,13
1171,1,13
1173,3,13
1174,3,13
1175,5,13
1176,3,13
1179,3,13
1180,3,13
1181,3,13
1182,3,13
1185,3,13
1186,3,13
1187,3,13
1189,4,13
1190,3,13
1192,5,13
1193,3,13
1194,3,13
1196,1,13
1197,6,13
1199,7,13
1200,1,13
1202,1,13
1203,5,13
1205,1,13
1213,7,13
1215,5,13
1216,0,13
1217,5,13
1219,8,13
1220,14,13
1221,13,13
1222,9,13
1224,4,13
1226,13,13
1227,6,13
1228,9,13
1230,1,13
1232,10,13
1235,1,13
1241,9,13
1246,14,13
1247,0,13
1248,6,13
1250,9,13
1253,6,13
1255,7,13
1256,7,13
1257,15,13
1260,6,13
1261,6,13
1262,13,13
1266,6,13
1270,9,13
1272,0,13
1274,7,13
1275,6,13
1276,15,13
1277,9,13
1278,7,13
1281,7,13
1282,6,13
1285,7,13
1288,13,13
1289,13,13
1290,5,13
1291,7,13
1292,7,13
1295,7,13
1296,7,13
1297,7,13
1298,7,13
1300,7,13
1302,0,13
1305,0,13
1308,0,13
1309,0,13
1311,12,13
1314,0,13
1315,9,13
1317,10,13
1318,9,13
1319,0,13
1322,3,13
1323,7,13
1325,5,13
1326,9,13
1327,12,13
1328,0,13
1330,5,13
1332,1,13
1334,9,13
1340,13,13
1343,2,13
1346,15,13
1347,5,13
1348,9,13
1349,0,13
1350,4,13
1351,12,13
1356,9,13
1357,14,13
1361,9,13
1362,0,13
1364,14,13
1366,2,13
1368,3,13
1370,8,13
1371,12,13
1372,8,13
1373,8,13
1380,8,13
1384,1,13
1385,2,13
1386,5,13
1387,8,13
1388,8,13
1389,0,13
1390,5,13
1392,12,13
1393,9,13
1394,0,13
1397,4,13
1399,8,13
1400,12,13
1402,0,13
1404,6,13
1406,9,13
1409,9,13
1410,9,13
1413,12,13
1414,2,13
1418,13,13
1419,3,13
1422,2,13
1424,8,13
1427,0,13
1428,5,13
1430,4,13
1433,14,13
1434,9,13
1437,14,13
1438,4,13
1441,6,13
1442,4,13
1443,7,13
1444,3,13
1445,6,13
1447,4,13
1448,9,13
1449,6,13
1452,6,13
1453,7,13
1456,6,13
1457,7,13
1458,7,13
1463,6,13
1464,7,13
1465,10,13
1469,7,13
1470,7,13
1472,7,13
1477,7,13
1478,13,13
1479,7,13
1480,7,13
1482,0,13
1483,8,13
1484,13,13
1485,8,13
1486,7,13
1489,6,13
1490,6,13
1491,9,13
1498,9,13
1499,13,13
1500,8,13
1501,12,13
1503,6,13
1506,10,13
1507,3,13
1512,9,13
1513,3,13
1517,5,13
1518,13,13
1519,13,13
1520,7,13
1522,13,13
1523,13,13
1529,13,13
1531,2,13
1534,7,13
1536,13,13
1540,2,13
1543,2,13
1546,5,13
1549,6,13
1550,13,13
1551,13,13
1554,13,13
1556,6,13
1557,2,13
1558,8,13
1563,2,13
1566,10,13
1568,4,13
1570,3,13
1572,3,13
1574,3,13
1575,12,13
1576,3,13
1578,3,13
1579,4,13
1580,4,13
1581,13,13
1583,4,13
1584,3,13
1586,10,13
1588,3,13
1590,3,13
1592,3,13
1594,3,13
1598,6,13
1599,3,13
1602,3,13
1603,3,13
1604,4,13
1606,3,13
1608,3,13
1612,3,13
1618,10,13
1621,3,13
1623,3,13
1624,3,13
1627,3,13
1632,3,13
1633,3,13
1638,3,13
1639,3,13
1640,3,13
1641,3,13
1644,3,13
1647,3,13
1653,3,13
1654,3,13
1655,2,13
1661,13,13
1664,3,13
1666,12,13
1668,9,13
1670,2,13
1671,12,13
1675,12,13
1678,6,13
1679,13,13
1681,6,13
1682,10,13
1683,9,13
1684,15,13
1685,9,13
1689,6,13
1692,0,13
1696,13,13
1697,10,13
1698,10,13
1699,13,13
1709,0,13
1710,9,13
1714,2,13
1715,12,13
1717,1,13
1718,9,13
1720,12,13
1721,9,13
1723,0,13
1726,8,13
1727,13,13
1728,2,13
1731,12,13
1734,0,13
1735,4,13
1736,3,13
1738,8,13
1739,6,13
1741,9,13
1742,15,13
1743,6,13
1744,13,13
1747,13,13
1748,5,13
1749,9,13
1751,8,13
1752,9,13
1758,12,13
1760,13,13
1761,9,13
1762,9,13
1763,5,13
1764,5,13
1768,13,13
1773,9,13
1784,5,13
1786,9,13
1787,6,13
1788,14,13
1791,13,13
1792,0,13
1793,9,13
1795,9,13
1798,0,13
1801,6,13
1804,0,13
1805,9,13
1807,9,13
1810,2,13
1811,9,13
1812,5,13
1815,9,13
1817,9,13
1818,8,13
1819,9,13
1820,2,13
1822,6,13
1824,6,13
1826,9,13
1827,3,13
1829,9,13
1830,6,13
1834,9,13
1836,0,13
1840,8,13
1841,5,13
1842,9,13
1846,2,13
1848,8,13
1850,6,13
1851,9,13
1852,6,13
1853,6,13
1854,15,13
1855,9,13
1856,8,13
1857,4,13
1858,8,13
1859,13,13
1860,9,13
1862,13,13
1863,2,13
1864,3,13
1866,6,13
1870,15,13
1871,9,13
1874,14,13
1876,2,13
1877,2,13
1878,2,13
1879,8,13
1880,0,13
1886,13,13
1888,14,13
1889,15,13
1890,4,13
1892,0,13
1897,13,13
1899,12,13
1900,5,13
1901,9,13
1910,12,13
1911,10,13
1913,9,13
1916,9,13
1918,9,13
1923,14,13
1926,8,13
1928,9,13
1931,0,13
1934,13,13
1938,0,13
1940,13,13
1941,9,13
1944,10,13
1945,3,13
1948,3,13
1955,6,13
1956,9,13
1957,9,13
1958,9,13
1960,3,13
1964,14,13
1965,10,13
1966,13,13
1967,9,13
1970,13,13
1972,3,13
1973,4,13
1975,3,13
1977,9,13
1978,0,13
1983,12,13
1985,2,13
1990,9,13
1991,9,13
1993,3,13
1994,9,13
1997,14,13
2000,6,13
2001,13,13
2004,2,13
2005,4,13
2006,2,13
2007,14,13
2008,14,13
2009,5,13
2010,9,13
2020,2,13
2021,4,13
2025,4,13
2028,15,13
2029,9,13
2030,5,13
2031,5,13
2032,4,13
2033,4,13
2034,2,13
2037,3,13
2038,10,13
2040,2,13
2044,7,13
2046,8,13
2047,0,13
2051,8,13
2054,13,13
2055,6,13
2058,2,13
2059,4,13
2060,8,13
2061,2,13
2062,9,13
2065,5,13
2069,14,13
2071,5,13
2072,4,13
2073,8,13
2077,13,13
2083,2,13
2084,13,13
2085,9,13
2086,5,13
2087,10,13
2088,9,13
2089,9,13
2092,9,13
2095,2,13
2097,9,13
2098,6,13
2099,2,13
2101,9,13
2102,10,13
2104,2,13
2107,13,13
2109,9,13
2110,9,13
2111,8,13
2113,13,13
2114,8,13
2115,13,13
2119,14,13
2121,15,13
2122,9,13
2125,13,13
2126,9,13
2129,4,13
2130,12,13
2131,9,13
2132,13,13
2133,12,13
2135,13,13
2138,5,13
2141,13,13
2142,5,13
2144,13,13
2145,0,13
2148,5,13
2150,14,13
2151,9,13
2152,9,13
2156,13,13
2157,13,13
2158,13,13
2161,9,13
2163,2,13
2165,9,13
2166,11,13
2167,0,13
2168,4,13
2171,0,13
2172,9,13
2173,2,13
2174,9,13
2180,15,13
2181,13,13
2182,9,13
2183,9,13
2185,2,13
2188,0,13
2189,13,13
2190,6,13
2191,6,13
2193,15,13
2195,13,13
2197,12,13
2206,12,13
2207,10,13
2210,2,13
2211,10,13
2212,13,13
2216,2,13
2217,5,13
2218,8,13
2220,10,13
2223,10,13
2225,5,13
2226,10,13
2227,0,13
2228,13,13
2229,9,13
2230,9,13
2231,13,13
2232,12,13
2233,9,13
2235,13,13
2236,13,13
2237,10,13
2238,13,13
2239,9,13
2240,9,13
2241,13,13
2242,13,13
2245,9,13
2247,9,13
2248,13,13
2249,11,13
2254,13,13
2255,10,13
2259,11,13
2262,11,13
2264,8,13
2265,4,13
2266,9,13
2267,4,13
2268,11,13
2269,10,13
2270,9,13
2271,9,13
2273,12,13
2276,13,13
2279,0,13
2280,14,13
2284,13,13
2285,11,13
2286,5,13
2287,9,13
2288,13,13
2290,1,13
2293,12,13
2295,9,13
2296,8,13
2298,11,13
2299,11,13
2300,13,13
2305,2,13
2306,11,13
2307,13,13
2308,10,13
2309,11,13
2310,2,13
2311,11,13
2312,10,13
2313,14,13
2314,13,13
2316,13,13
2317,9,13
2318,13,13
2320,13,13
2321,13,13
2322,9,13
2323,13,13
2324,13,13
2326,0,13
2327,8,13
2328,13,13
2329,13,13
2330,13,13
2331,9,13
2333,13,13
2334,13,13
2337,1,13
2338,1,13
2339,13,13
2341,8,13
2344,4,13
2346,0,13
2348,13,13
2349,5,13
2350,4,13
2351,13,13
2354,13,13
2357,13,13
2359,13,13
2360,13,13
2361,4,13
2362,4,13
2370,6,13
2371,2,13
2372,6,13
2373,9,13
2375,12,13
2376,13,13
2378,2,13
2381,6,13
2383,8,13
2385,6,13
2386,8,13
2388,13,13
2390,13,13
2391,13,13
2392,13,13
2394,2,13
2398,13,13
2399,13,13
2401,13,13
2403,13,13
2404,4,13
2406,4,13
2408,6,13
2409,13,13
2417,13,13
2423,13,13
2425,13,13
2427,0,13
2428,13,13
2430,0,13
2432,13,13
2436,13,13
2437,9,13
2439,13,13
2440,6,13
2441,2,13
2442,0,13
2444,10,13
2446,6,13
2447,12,13
2448,4,13
2449,9,13
2450,4,13
2463,13,13
2465,13,13
2468,4,13
2471,13,13
2474,4,13
2475,9,13
2476,8,13
2480,5,13
2481,3,13
2483,4,13
2490,4,13
2492,10,13
2493,2,13
2494,2,13
2495,13,13
2498,12,13
2499,6,13
2501,12,13
2502,12,13
2503,10,13
2504,13,13
2507,8,13
2508,8,13
2510,12,13
2511,5,13
2513,2,13
2514,2,13
2515,6,13
2516,8,13
2517,8,13
2518,15,13
2522,12,13
2524,12,13
2527,4,13
2528,12,13
2530,15,13
2531,9,13
2532,13,13
2533,6,13
2535,8,13
2538,12,13
2540,12,13
2541,6,13
2542,10,13
2544,10,13
2546,2,13
2547,13,13
2549,9,13
2550,8,13
2554,8,13
2556,15,13
2558,13,13
2562,15,13
2563,9,13
2564,0,13
2569,0,13
2570,14,13
2572,9,13
2574,9,13
2575,3,13
2576,6,13
2578,0,13
2579,1,13
2582,10,13
2584,6,13
2585,15,13
2586,9,13
2588,8,13
2592,6,13
2593,15,13
2601,15,13
2605,9,13
2608,2,13
2611,9,13
2615,15,13
2616,9,13
2617,5,13
2618,2,13
2619,5,13
2621,15,13
2622,9,13
2623,6,13
2625,9,13
2626,5,13
2629,15,13
2630,9,13
2633,12,13
2635,9,13
2636,12,13
2638,6,13
2641,6,13
2644,2,13
2645,12,13
2647,6,13
2648,2,13
2651,2,13
2652,13,13
2653,13,13
2656,9,13
2657,4,13
2658,4,13
2660,2,13
2662,9,13
2664,11,13
2667,11,13
2668,9,13
2672,11,13
2676,2,13
2677,9,13
2679,14,13
2680,9,13
2683,9,13
2685,3,13
2686,3,13
2687,3,13
2688,3,13
2691,2,13
2694,4,13
2699,12,13
2701,12,13
2702,10,13
2705,13,13
2706,3,13
2707,14,13
2709,8,13
2710,6,13
2712,10,13
2713,9,13
2715,9,13
2718,8,13
2721,3,13
2722,3,13
2724,3,13
2725,0,13
2726,6,13
2727,3,13
2729,0,13
2730,8,13
2731,10,13
2732,6,13
2734,9,13
2735,8,13
2737,9,13
2738,2,13
2740,9,13
2741,6,13
2742,13,13
2743,13,13
2744,13,13
2746,4,13
2750,14,13
2753,12,13
2755,9,13
2756,9,13
2757,13,13
2758,9,13
2761,9,13
2762,8,13
2764,9,13
2767,8,13
2769,9,13
2771,6,13
2772,14,13
2773,1,13
2776,2,13
2777,15,13
2778,9,13
2780,0,13
2782,2,13
2783,6,13
2784,8,13
2785,12,13
2787,10,13
2788,6,13
2789,9,13
2790,9,13
2791,6,13
2793,10,13
2796,9,13
2797,4,13
2803,8,13
2805,3,13
2807,0,13
2813,4,13
2814,9,13
2815,4,13
2818,9,13
2819,9,13
2820,10,13
2823,13,13
2824,9,13
2825,14,13
2826,9,13
2827,9,13
2828,9,13
2830,15,13
2831,3,13
2833,6,13
2836,13,13
2840,12,13
2842,5,13
2844,6,13
2849,9,13
2851,8,13
2852,8,13
2854,0,13
2855,10,13
2856,9,13
2857,14,13
2858,10,13
2863,6,13
2864,12,13
2865,6,13
2867,10,13
2868,2,13
2872,9,13
2873,9,13
2874,8,13
2875,13,13
2880,10,13
2885,8,13
2886,4,13
2888,10,13
2891,4,13
2893,2,13
2894,9,13
2898,2,13
2899,4,13
2901,0,13
2903,8,13
2905,10,13
2907,6,13
2909,6,13
2913,6,13
2914,12,13
2915,4,13
2916,14,13
2924,9,13
2926,2,13
2927,15,13
2930,13,13
2933,0,13
2935,9,13
2937,9,13
2941,9,13
2943,9,13
2945,6,13
2946,6,13
2947,9,13
2949,6,13
2950,9,13
2951,9,13
2952,9,13
2954,9,13
2955,13,13
2957,9,13
2958,9,13
2959,9,13
2960,9,13
2964,14,13
2965,4,13
2968,0,13
2969,13,13
2971,9,13
2973,4,13
2974,2,13
