row_index,label,seed
4,14,42
6,9,42
7,11,42
8,11,42
12,10,42
21,11,42
23,3,42
24,12,42
27,0,42
32,3,42
33,9,42
34,14,42
35,3,42
39,11,42
40,11,42
41,3,42
49,12,42
52,3,42
53,12,42
54,6,42
62,11,42
69,8,42
70,9,42
72,10,42
73,9,42
75,6,42
80,8,42
83,2,42
85,0,42
86,2,42
87,2,42
88,11,42
95,3,42
97,11,42
98,11,42
101,2,42
102,11,42
103,12,42
104,3,42
106,9,42
107,6,42
108,14,42
109,11,42
110,3,42
114,14,42
115,11,42
119,8,42
120,3,42
122,14,42
124,10,42
127,0,42
128,10,42
130,8,42
131,3,42
134,3,42
135,11,42
137,11,42
140,9,42
142,14,42
144,3,42
147,7,42
149,11,42
150,9,42
151,1,42
152,0,42
156,0,42
158,6,42
160,15,42
161,6,42
167,0,42
170,3,42
172,3,42
173,6,42
175,8,42
176,10,42
179,7,42
180,10,42
182,14,42
186,4,42
187,14,42
190,10,42
191,0,42
194,4,42
195,7,42
196,9,42
197,0,42
198,0,42
199,9,42
202,0,42
208,3,42
210,11,42
212,0,42
216,0,42
219,0,42
221,0,42
222,11,42
223,11,42
224,9,42
225,9,42
226,0,42
231,0,42
237,14,42
239,2,42
241,10,42
242,0,42
245,9,42
248,0,42
249,2,42
250,0,42
251,12,42
253,9,42
256,7,42
259,0,42
261,2,42
262,4,42
264,4,42
265,3,42
266,6,42
267,2,42
268,2,42
269,0,42
270,0,42
271,3,42
272,15,42
273,10,42
274,4,42
277,3,42
278,2,42
279,2,42
280,7,42
283,4,42
285,4,42
288,10,42
291,8,42
292,0,42
293,0,42
295,3,42
297,4,42
300,3,42
304,10,42
305,7,42
309,6,42
312,0,42
313,10,42
314,2,42
321,12,42
323,4,42
325,14,42
326,4,42
328,10,42
330,1,42
331,14,42
332,4,42
333,2,42
335,14,42
341,0,42
342,14,42
344,0,42
345,0,42
347,9,42
351,7,42
353,0,42
354,0,42
355,11,42
356,0,42
359,8,42
362,12,42
365,12,42
369,8,42
373,9,42
374,4,42
375,6,42
378,14,42
379,4,42
380,1,42
381,14,42
383,0,42
385,9,42
394,0,42
396,14,42
398,3,42
399,14,42
400,3,42
401,8,42
402,8,42
406,8,42
407,8,42
410,3,42
414,4,42
416,3,42
417,12,42
419,9,42
421,4,42
422,10,42
423,10,42
428,10,42
429,0,42
430,0,42
431,0,42
433,0,42
435,11,42
436,15,42
437,8,42
439,2,42
441,6,42
444,6,42
446,14,42
447,3,42
448,3,42
450,2,42
452,0,42
454,4,42
456,9,42
457,10,42
458,6,42
460,3,42
462,2,42
466,9,42
467,9,42
469,11,42
470,0,42
471,0,42
472,12,42
473,8,42
474,10,42
475,14,42
476,0,42
477,7,42
478,14,42
481,0,42
482,3,42
483,10,42
484,15,42
487,9,42
488,0,42
489,7,42
491,7,42
494,7,42
499,0,42
501,3,42
502,3,42
504,15,42
505,14,42
506,7,42
508,4,42
510,1,42
512,4,42
516,15,42
519,4,42
520,9,42
522,7,42
524,4,42
525,12,42
529,10,42
532,7,42
536,10,42
539,15,42
541,4,42
542,14,42
543,0,42
545,15,42
548,3,42
549,14,42
550,15,42
554,0,42
556,7,42
561,3,42
562,4,42
563,15,42
564,15,42
568,4,42
572,4,42
573,8,42
574,3,42
575,12,42
578,14,42
581,12,42
582,4,42
585,4,42
586,13,42
588,13,42
590,13,42
592,13,42
593,13,42
598,13,42
600,13,42
601,13,42
602,13,42
604,13,42
611,8,42
612,12,42
614,8,42
616,3,42
618,9,42
622,10,42
624,0,42
625,8,42
627,13,42
628,13,42
629,3,42
630,13,42
631,13,42
632,13,42
640,3,42
642,12,42
643,3,42
644,2,42
646,13,42
647,7,42
651,12,42
652,12,42
653,10,42
655,4,42
659,9,42
662,13,42
664,1,42
665,15,42
666,0,42
669,13,42
672,12,42
673,4,42
674,15,42
675,4,42
676,13,42
677,3,42
679,12,42
680,13,42
681,8,42
685,10,42
686,14,42
687,8,42
688,14,42
689,3,42
690,10,42
695,9,42
696,4,42
697,9,42
698,4,42
700,4,42
701,9,42
702,1,42
703,0,42
708,14,42
709,0,42
711,10,42
712,4,42
713,3,42
716,14,42
718,14,42
720,8,42
724,8,42
725,4,42
726,3,42
729,4,42
730,4,42
732,9,42
736,12,42
738,8,42
745,4,42
748,4,42
749,9,42
751,14,42
752,14,42
754,2,42
756,3,42
758,4,42
759,10,42
762,4,42
763,0,42
766,14,42
771,4,42
772,4,42
773,10,42
774,4,42
775,3,42
776,0,42
777,7,42
779,14,42
780,14,42
782,14,42
784,14,42
788,10,42
790,7,42
793,4,42
795,4,42
800,14,42
802,8,42
803,4,42
804,3,42
807,9,42
808,3,42
809,7,42
811,8,42
812,4,42
816,3,42
820,4,42
821,14,42
822,15,42
828,12,42
829,14,42
831,14,42
833,6,42
836,14,42
838,3,42
839,3,42
842,14,42
843,14,42
845,4,42
848,4,42
849,10,42
851,14,42
852,3,42
853,5,42
856,10,42
862,0,42
866,10,42
867,10,42
870,14,42
871,0,42
872,14,42
873,2,42
874,8,42
875,3,42
876,10,42
878,8,42
879,14,42
880,7,42
883,14,42
884,4,42
885,14,42
886,5,42
890,3,42
892,14,42
895,3,42
896,2,42
897,7,42
898,7,42
902,14,42
904,14,42
905,14,42
906,8,42
911,4,42
913,3,42
914,14,42
915,14,42
920,3,42
921,9,42
923,3,42
926,7,42
928,14,42
930,4,42
931,12,42
933,3,42
934,14,42
935,14,42
936,0,42
938,11,42
940,11,42
942,6,42
943,6,42
